"hoboID","site","year","rep","unit","folder","integral_mol","integral_lux","integral_mol_3p","integral_lux_3p","integral_mol_5p","integral_lux_5p"
"CB18","CB","17","a","H18","CB17a",43586.4884,2356026.4,43469.4648,2349700.8,43443.51115,2348297.9
"CB01","CB","17","a","H01","CB17a",39936.7788,2158744.8,39809.3329166667,2151855.83333333,39694.6323,2145655.8
"CB28","CB","17","a","H28","CB17a",28293.45045,1529375.7,28412.3992833333,1535805.36666667,28485.89226,1539777.96
"CB27","CB","17","a","H27","CB17a",33933.49735,1834243.1,33935.62115,1834357.9,33966.83213,1836044.98
"CB36","CB","17","a","H36","CB17a",48984.9882,2647837.2,48857.54355,2640948.3,48747.94067,2635023.82
"CB14","CB","17","a","H14","CB17a",23478.22235,1269093.1,23606.46435,1276025.1,23709.85419,1281613.74
"CB16","CB","17","a","H16","CB17a",19092.8991,1032048.6,19207.0687666667,1038219.93333333,19300.9538,1043294.8
"CB37","CB","17","a","H37","CB17a",44365.49935,2398135.1,44357.0029166667,2397675.83333333,44370.59721,2398410.66
"CB46","CB","17","a","H46","CB17a",45480.0411,2458380.6,45505.5297833333,2459758.36666667,45508.07859,2459896.14
"CB21","CB","17","a","H21","CB17a",53998.3735,2918831,54028.1104,2920438.4,54002.43536,2919050.56
"CB40","CB","17","a","H40","CB17a",44890.60335,2426519.1,44860.86645,2424911.7,44816.68586,2422523.56
"CB42","CB","17","a","H42","CB17a",18637.4772,1007431.2,18677.8343333333,1009612.66666667,18710.12004,1011357.84
"CB25","CB","17","a","H25","CB17a",17661.32285,954666.1,17652.2960833333,954178.166666668,17645.23377,953796.420000001
"CB17","CB","17","a","H17","CB17a",35774.09565,1933734.9,35783.1230333333,1934222.86666667,35754.02278,1932649.88
"CB12","CB","17","a","H12","CB17a",22993.3281,1242882.6,23013.5072833333,1243973.36666667,23029.33206,1244828.76
"CB10","CB","17","a","H10","CB17a",32972.69615,1782307.9,32977.0775666667,1782544.73333333,32962.66064,1781765.44
"CB30","CB","17","a","H30","CB17a",13072.6994,706632.4,13196.9589666667,713349.133333334,13335.87485,720858.100000001
"CB26","CB","17","a","H26","CB17a",42249.7006,2283767.6,42205.6255833333,2281385.16666667,42153.43918,2278564.28
"CB08","CB","17","a","H08","CB17a",21839.1427,1180494.2,21768.9142333333,1176698.06666667,21737.66354,1175008.84
"CB47","CB","17","a","H47","CB17a",41364.7679,2235933.4,41288.3012333333,2231800.06666667,41242.42111,2229320.06
"CB15","CB","17","a","H15","CB17a",41419.9164,2238914.4,41320.0836166667,2233518.03333333,41226.83597,2228477.62
"CB34","CB","17","a","H34","CB17a",45763.00785,2473676.1,45771.5042833333,2474135.36666667,45773.20357,2474227.22
"CB32","CB","17","a","H32","CB17a",41641.3651,2250884.6,41632.8692833333,2250425.36666667,41659.20835,2251849.1
"CB51","CB","17","a","H51","CB17a",45625.218,2466228,45527.5096333333,2460946.46666667,45398.36471,2453965.66
"CB31","CB","17","a","H31","CB17a",42961.41595,2322238.7,42883.88615,2318047.9,42791.27552,2313041.92
"CB48","CB","17","a","H48","CB17a",42499.421,2297266,42558.8948,2300480.8,42619.21849,2303741.54
"CB19","CB","17","a","H19","CB17a",16206.05735,876003.1,16359.1904833333,884280.566666667,16442.06962,888760.520000001
"CB50","CB","17","a","H50","CB17a",40500.1371,2189196.6,40489.51625,2188622.5,40509.0578,2189678.8
"CB33","CB","17","a","H33","CB17a",46650.5583,2521651.8,46663.3023333333,2522340.66666667,46658.20435,2522065.1
"CB43","CB","17","a","H43","CB17a",34709.3263,1876179.8,34668.96855,1873998.3,34631.58449,1871977.54
"CB04","CB","17","a","H04","CB17a",34975.9668,1890592.8,34954.7257166667,1889444.63333333,34928.81178,1888043.88
"CB44","CB","17","a","H44","CB17a",39562.01505,2138487.3,39600.249,2140554,39630.83616,2142207.36
"CB05","CB","17","a","H05","CB17a",40529.59835,2190789.1,40507.2953666667,2189583.53333333,40488.1787,2188550.2
"CB02","CB","17","a","H02","CB17a",39360.4927,2127594.2,39341.3760333333,2126560.86666667,39313.33805,2125045.3
"CB39","CB","17","a","H39","CB17a",29686.5911,1604680.6,29750.3131166667,1608125.03333333,29811.48645,1611431.7
"CB22","CB","17","a","H22","CB17a",21447.0389,1159299.4,21522.4449,1163375.4,21588.90245,1166967.7
"CB20","CB","17","a","H20","CB17a",32183.51205,1739649.3,32001.9024833333,1729832.56666667,31900.58341,1724355.86
"CB49","CB","17","a","H49","CB17a",15384.03575,831569.5,15381.9125666667,831454.733333334,15380.21365,831362.9
"CB35","CB","17","a","H35","CB17a",23382.42195,1263914.7,23480.1297,1269196.2,23558.2959,1273421.4
