rec,year,lon,lat,Dclip,Rclip,Dplane,Rplane,H,L,unit,dpHB,new_unit
CB,17,-685.5733874,2649.750309,2.305965082,2.80817556,2.248580701,2.296154895,0.519799403,0.5,11,-3.120852435,H11
CB,17,-685.5733874,2649.750309,2.306283882,2.555913125,2.276826605,2.308761985,0.697976322,0.75,11,-3.120852435,H11
CB,17,-684.414231,2649.61121,2.381046887,2.415523667,2.281652444,1.764957728,0.159368677,0.25,14,-2.740456514,H14
CB,17,-684.414231,2649.61121,2.511193848,2.231717637,2.357863767,1.453233709,0.168325222,0.5,14,-2.740456514,H14
CB,17,-684.414231,2649.61121,2.594896162,2.132874763,2.404009404,1.313542093,0.168325222,0.75,14,-2.740456514,H14
CB,17,-684.5765129,2650.603448,2.297693669,1.741449271,2.214756079,1.421152252,0.146149553,0.25,3,-3.198774363,H03
CB,17,-684.5765129,2650.603448,2.3344116,1.862804738,2.244119691,1.471586676,0.276585617,0.5,3,-3.198774363,H03
CB,17,-684.5765129,2650.603448,2.411909146,1.758283848,2.321590524,1.409521401,0.276585617,0.75,3,-3.198774363,H03
CB,17,-684.1360334,2648.975992,2.267327492,5.034480811,2.232575403,4.385699428,0.573888109,0.25,29,-3.337901821,H29
CB,17,-684.1360334,2648.975992,2.28730817,3.425891181,2.274430972,3.26284713,0.70144038,0.5,29,-3.337901821,H29
CB,17,-684.1360334,2648.975992,2.373608186,3.350847975,2.347100252,3.033861174,0.71725216,0.75,29,-3.337901821,H29
CB,17,-684.6275158,2648.11358,2.242402252,1.787417234,2.206446141,1.62095591,0.191133301,0.25,13,-2.911489292,H13
CB,17,-684.6275158,2648.11358,2.30612698,1.503273072,2.246555493,1.329500089,0.222187971,0.5,13,-2.911489292,H13
CB,17,-684.6275158,2648.11358,2.376949004,1.554265867,2.277273753,1.271968746,0.263166519,0.75,13,-2.911489292,H13
CB,17,-682.8238684,2647.306807,2.228306685,4.076585271,2.171201754,3.273084552,0.540645217,0.25,10,-4.030797715,H10
CB,17,-682.8238684,2647.306807,2.251081369,2.690877042,2.231538613,2.510880436,0.621738362,0.5,10,-4.030797715,H10
CB,17,-682.8238684,2647.306807,2.258536606,2.612568896,2.23694337,2.42235226,0.873534032,0.75,10,-4.030797715,H10
CB,17,-684.6692454,2646.963697,2.536543587,1.766938018,2.239762685,1.086165134,0.055301966,0.25,19,-4.030622552,H19
CB,17,-684.6692454,2646.963697,2.676488166,1.642906835,2.292184694,1.034166534,0.055301966,0.5,19,-4.030622552,H19
CB,17,-684.6692454,2646.963697,2.508696331,3.23955751,2.177545626,1.26660669,0.394022036,0.75,19,-4.030622552,H19
CB,17,-682.9815136,2646.648406,2.382306731,1.146458456,2.280417664,1.065224344,0.040425809,0.25,21,-3.651807185,H21
CB,17,-682.9815136,2646.648406,2.423067516,1.168534414,2.298680118,1.062955405,0.073582813,0.5,21,-3.651807185,H21
CB,17,-682.9815136,2646.648406,2.536721495,1.335842442,2.412504495,1.131002235,0.100797604,0.75,21,-3.651807185,H21
CB,17,-685.4760183,2646.23111,2.596057282,1.244826124,2.310637978,1.025265117,0.021972957,0.25,31,-3.847768251,H31
CB,17,-685.4760183,2646.23111,2.723270235,1.192086819,2.407817387,1.015153673,0.022662428,0.5,31,-3.847768251,H31
CB,17,-685.4760183,2646.23111,2.827199742,1.201759378,2.429354577,1.008084658,0.022662428,0.75,31,-3.847768251,H31
CB,17,-683.3941733,2645.340878,2.402738488,2.140841625,2.27393398,1.492444845,0.125363906,0.25,22,-3.354333759,H22
CB,17,-683.3941733,2645.340878,2.514445785,2.098438247,2.407850371,1.549952724,0.153554509,0.5,22,-3.354333759,H22
CB,17,-683.3941733,2645.340878,2.573836991,2.017578447,2.444179816,1.42981778,0.170897856,0.75,22,-3.354333759,H22
CB,17,-684.2148561,2644.830849,2.387714834,1.539852868,2.250711295,1.199462524,0.082549458,0.25,27,-4.404809302,H27
CB,17,-684.2148561,2644.830849,2.337874903,5.113334801,2.130399781,2.340321869,0.869877784,0.5,27,-4.404809302,H27
CB,17,-684.2148561,2644.830849,2.363959358,4.63691289,2.197784073,2.479159345,1.057029893,0.75,27,-4.404809302,H27
CB,17,-685.1468179,2645.396517,2.485648683,1.16992727,2.3439414,1.055202151,0.028486573,0.25,26,-4.038213021,H26
CB,17,-685.1468179,2645.396517,2.634015831,1.237789519,2.434797376,1.04951225,0.036927021,0.5,26,-4.038213021,H26
CB,17,-685.1468179,2645.396517,2.383131394,1.4983417,2.148800307,1.085031194,0.240525731,0.75,26,-4.038213021,H26
CB,17,-685.0633586,2644.098262,2.592634955,1.143549485,2.21373893,1.006561059,0.016676972,0.25,23,-4.375793367,H23
CB,17,-685.0633586,2644.098262,2.587023595,1.090144028,2.358562421,1.013988533,0.026715993,0.5,23,-4.375793367,H23
CB,17,-685.0633586,2644.098262,2.202018493,1.075911119,2.037446445,1.019847332,0.181740441,0.75,23,-4.375793367,H23
CB,17,-686.296701,2644.506285,2.11578574,2.129944549,2.058649919,1.788537191,0.41079203,0.25,37,-4.284945722,H37
CB,17,-686.296701,2644.506285,2.169723269,1.85626014,2.131906146,1.669024308,0.545928762,0.5,37,-4.284945722,H37
CB,17,-686.296701,2644.506285,2.210636152,1.704519036,2.177934594,1.565765021,0.609706533,0.75,37,-4.284945722,H37
CB,17,-687.7108719,2645.275965,2.447668632,2.776471742,2.213358129,1.398391914,0.14230074,0.25,42,-4.065350364,H42
CB,17,-687.7108719,2645.275965,2.510179666,1.954727565,2.315291549,1.248073499,0.14230074,0.5,42,-4.065350364,H42
CB,17,-687.7108719,2645.275965,2.533101784,1.586540543,2.401048961,1.227118103,0.14230074,0.75,42,-4.065350364,H42
