"","integral_props","prop_integrals","integral_props1","prop_integrals1","integral_props2","prop_integrals2","H","site","year.x","integral_pard","integral_mol_5p","folder","Dclip","Dplane","Rclip","dpHB","Rclip.1","Rplane","lon","lat","hoboID","mergekey","L","year","Rcl","Rpl","Hl","dim","rec"
"7777",70.8236359982001,0.529352938819332,2162.54304422575,14.5068514019987,50.6123791899716,0.377824814231712,0.573888109,"CB",17,102450.560076156,54232.50506,"CB17a",2.267327492,2.232575403,5.034480811,-3.337901821,5.034480811,4.385699428,-684.1360334,2648.975992,"CB29","CB17H29",0.25,"17",0.701954689875951,0.642038864178245,-0.241172773770528,0.25,"CB"
"8065",17.1871044924538,0.133199222425005,634.124496465241,4.49034966675844,12.0577446658983,0.0931218884909874,0.048677336,"CB",17,100119.765019713,13335.87485,"CB17a",2.445149784,2.325971224,1.329943422,-3.625567095,1.329943422,1.133701226,-688.2950867,2649.472111,"CB30","CB17H30",0.25,"17",0.123833165752164,0.054498616288919,-1.31267319774185,0.25,"CB"
"8353",57.843960096798,0.435066324989386,2530.5320746815,17.2113315525354,39.8708180248089,0.299335001033258,0.021972957,"CB",17,98355.7518983891,42791.27552,"CB17a",2.596057282,2.310637978,1.244826124,-3.847768251,1.244826124,1.025265117,-685.4760183,2646.23111,"CB31","CB17H31",0.25,"17",0.0951086938727953,0.0108361814526043,-1.65811149417789,0.25,"CB"
"8641",58.3752772963722,0.433042757785451,3195.60249504384,20.9105545164123,39.3633020178594,0.292062121292171,0.089282983,"CB",17,96201.1431920536,41659.20835,"CB17a",2.246343537,2.222294565,1.222657046,-4.124640576,1.222657046,1.18539791,-690.682949,2652.073258,"CB32","CB17H32",0.25,"17",0.0873046549782524,0.0738641571899343,-1.04923130811531,0.25,"CB"
"8929",66.7108181088532,0.475843837168685,3239.91632149538,19.3530388453187,45.5364062226824,0.32648550859468,0.07562795,"CB",17,98053.6064680812,46658.20435,"CB17a",2.363618767,2.267142203,1.393498714,-3.886226916,1.393498714,1.192539979,-689.6582547,2647.914205,"CB33","CB17H33",0.25,"17",0.144106572257819,0.0764729473499324,-1.12131767159588,0.25,"CB"
"9217",65.6571066268172,0.472273064437346,3531.97051525392,21.3248927035894,44.3538638873123,0.320665133872596,0.043211689,"CB",17,96921.0548235119,45773.20357,"CB17a",2.488164399,2.349886008,1.366162181,-4.031446348,1.366162181,1.128843619,-686.8206397,2646.93124,"CB34","CB17H34",0.25,"17",0.135502258739712,0.0526337823949529,-1.36439875824225,0.25,"CB"
"9505",38.4031308500325,0.243640213123266,2085.78632713469,11.2370347122159,25.9154314243964,0.165077022896737,0.025925591,"CB",17,96692.9703352419,23558.2959,"CB17a",2.558259456,2.318164544,1.248480495,-4.060897287,1.248480495,1.037224872,-691.9533844,2648.999176,"CB35","CB17H35",0.25,"17",0.0963817617614237,0.0158729223306758,-1.58627133464526,0.25,"CB"
"9793",62.3724388816843,0.459272654478344,1375.15464319214,9.15284863586191,46.0491162247774,0.338415269958827,0.072938684,"CB",17,106141.613689954,48747.94067,"CB17a",2.421096753,2.33962665,1.553400905,-2.895478831,1.553400905,1.310557963,-686.5841718,2650.928012,"CB36","CB17H36",0.25,"17",0.191283553835376,0.117456233565239,-1.13704207673233,0.25,"CB"
"10081",64.1501879606202,0.467180398158816,4068.77471678004,25.3189402249318,42.6219444389879,0.311470165582431,0.41079203,"CB",17,94975.297304568,44370.59721,"CB17a",2.11578574,2.058649919,2.129944549,-4.284945722,2.129944549,1.788537191,-686.296701,2644.506285,"CB37","CB17H37",0.25,"17",0.328368297158555,0.25249797533662,-0.386377990976897,0.25,"CB"
"10369",38.0159539771215,0.306113821474773,1673.6934439095,13.238341377524,26.1725863249568,0.208744868284228,1.195751673,"CB",17,97386.9337437178,29811.48645,"CB17a",2.244261252,2.23313562,9.393784728,-3.97150545,9.393784728,8.973960842,-686.7789101,2650.135149,"CB39","CB17H39",0.25,"17",0.972840603482642,0.952984170151321,0.077640997174493,0.25,"CB"
"10657",64.5615137721138,0.46117802355167,3343.62810905983,20.3322416838443,43.7781202231964,0.313880886235019,0.023396408,"CB",17,97178.7109777115,44816.68586,"CB17a",2.542276063,2.323139293,1.182526199,-3.998260282,1.182526199,1.031683111,-688.2069908,2652.62038,"CB40","CB17H40",0.25,"17",0.0728107713591846,0.0135463210529281,-1.63085081376607,0.25,"CB"
"10945",50.1786165831659,0.368161801509614,2258.90748902939,14.747644272039,34.4948286541263,0.252987035561642,0.033950726,"CB",17,98219.335878211,36160.60764,"CB17a",2.351758232,2.300669469,1.082577968,-3.865117352,1.082577968,1.05472193,-689.4101952,2654.435619,"CB41","CB17H41",0.25,"17",0.0344591843351371,0.0231379760465003,-1.46915093436072,0.25,"CB"
"11233",30.127942427402,0.193569259181189,1646.31087653934,8.95636081785086,20.3229065364954,0.131109693158303,0.14230074,"CB",17,96658.529970849,18710.12004,"CB17a",2.447668632,2.213358129,2.776471742,-4.065350364,2.776471742,1.398391914,-687.7108719,2645.275965,"CB42","CB17H42",0.25,"17",0.443493257727216,0.145628904052246,-0.846792841468203,0.25,"CB"
"11521",49.8807735488468,0.361716439036044,2887.2844509613,18.2342571069738,33.4445279664672,0.242909330137538,0.162850035,"CB",17,95742.3571411116,34631.58449,"CB17a",2.295412576,2.25491562,1.864482313,-4.184396041,1.864482313,1.663767962,-689.5330658,2652.564741,"CB43","CB17H43",0.25,"17",0.270558267878106,0.221092757141109,-0.788212143759807,0.25,"CB"
"11809",57.0636751621765,0.41044873291021,3173.32151746538,19.175510732312,38.4235761761449,0.277739755984603,0.050342662,"CB",17,96554.8995096293,39630.83616,"CB17a",2.426519057,2.271473173,1.305454257,-4.078759172,1.305454257,1.092666166,-688.5964674,2650.75182,"CB44","CB17H44",0.25,"17",0.115761658785902,0.0384874955183379,-1.2980638237232,0.25,"CB"
"12097",63.7048352293817,0.462056591827364,2943.22897055316,18.0556062640356,43.698393636805,0.318296169549256,0.219167146,"CB",17,98490.2702286367,45508.07859,"CB17a",2.211738115,2.114044013,1.798950622,-3.830684041,1.798950622,1.411460997,-689.4727897,2649.532388,"CB46","CB17H46",0.25,"17",0.255019242896839,0.149668881759091,-0.659224547725499,0.25,"CB"
"12385",58.392568162635,0.421097309564227,2731.40675960231,17.3055004162729,39.993183372343,0.288622530141294,0.066581256,"CB",17,97940.3576638373,41242.42111,"CB17a",2.479054946,2.279891316,1.704943939,-3.900672363,1.704943939,1.167818276,-687.0988373,2646.296023,"CB47","CB17H47",0.25,"17",0.231710103338354,0.0673752675446946,-1.176648016498,0.25,"CB"
"12673",61.6616822413735,0.441874264898657,3519.22072805417,20.8446504603675,41.4033432095183,0.298715013009635,0.144208749,"CB",17,96451.0085233741,42619.21849,"CB17a",2.337435657,2.301079182,1.937603275,-4.092216143,1.937603275,1.742280038,-689.8854494,2650.928012,"CB48","CB17H48",0.25,"17",0.287264859858239,0.241117960765586,-0.841008390607161,0.25,"CB"
"12961",26.5511659999138,0.159403957015457,1529.88124915274,7.49525704631775,17.7987434096554,0.107794918150139,0.10455715,"CB",17,96485.770729698,15380.21365,"CB17a",2.300349685,2.204770612,1.436515316,-4.087711791,1.436515316,1.216671268,-687.7062353,2651.159843,"CB49","CB17H49",0.25,"17",0.157310260762234,0.0851732521997416,-0.980646263187098,0.25,"CB"
"13249",58.6219041267057,0.419619981968368,3257.58999820649,19.6358269362811,39.4768628057366,0.283899605901469,0.081045637,"CB",17,96537.4852026319,40509.0578,"CB17a",2.323192927,2.246673202,1.33144621,-4.081013832,1.33144621,1.186972742,-690.3908416,2650.260338,"CB50","CB17H50",0.25,"17",0.124323625771537,0.0744407457996524,-1.09127035993732,0.25,"CB"
"13537",56.2349230354013,0.409674318928403,835.058705582544,5.53965074785903,43.1962636718032,0.31380676968199,0.014751985,"CB",17,110815.744635275,45398.36471,"CB17a",2.516870681,2.310473309,1.062171182,-2.356795292,1.062171182,1.011450459,-686.03705,2649.045542,"CB51","CB17H51",0.25,"17",0.0261945143038317,0.00494461581682569,-1.8311495378862,0.25,"CB"
"13825",58.6390078331301,0.453882202500585,1782.46163197557,12.4955883506226,41.9221549065641,0.323809607660922,0.194497441,"CB",17,102398.525066512,46476.86809,"CB17a",2.328307955,2.19434612,2.375692567,-3.344252229,2.375692567,1.588689126,-682.6754963,2650.176878,"CB53","CB17H53",0.25,"17",0.375790238878974,0.201038922964875,-0.711086108306861,0.25,"CB"
"14113",39.5872845330695,0.264781141912504,2294.48683132208,12.4102750629156,26.5950549532686,0.178962679140176,0.030255697,"CB",18,81891.7200197179,21683.38,"CB18a",2.484385543,2.347408453,1.188109284,-4.086195607,1.188109284,1.063825712,-689.6892724,2649.947545,"H03","CB18H03",0.25,"18",0.0748563895132789,0.0268704827365571,-1.51919283778139,0.25,"CB"
"14401",43.2806951755128,0.349838561858646,2366.13592257286,17.4055159382019,29.2282373339544,0.235044782027353,0.145495251,"CB",18,81350.3549717288,28459.49,"CB18a",2.283701535,2.233341981,1.671275753,-4.169104231,1.671275753,1.476317485,-689.8513646,2645.682342,"H05","CB18H05",0.25,"18",0.223048112446328,0.169179763419697,-0.837151181923118,0.25,"CB"
"14689",66.857555568963,0.43668592553085,2987.70733613279,14.7576374114999,46.1073745124746,0.304964500582943,0.074074656,"CB",18,84922.5372787521,37084.48,"CB18a",2.396409256,2.349492955,1.478806067,-3.63192526,1.478806067,1.342901646,-687.1450383,2648.10297,"H11","CB18H11",0.25,"18",0.169911223656017,0.128044206143293,-1.13033035669096,0.25,"CB"
"14977",21.7191627043109,0.192503536395593,833.474699338679,7.05860148804182,15.1659685045829,0.133344643486049,0.057432772,"CB",18,84156.184677607,16200.36,"CB18a",2.469737301,2.29281934,1.520860023,-3.745239023,1.520860023,1.140799893,-681.71099,2651.144159,"H14","CB18H14",0.25,"18",0.182089244272485,0.0572094717736461,-1.2408402219349,0.25,"CB"
"15265",41.9247072228459,0.309483035851883,1609.68594863069,9.96181857721836,29.3670489059385,0.217185850543156,0.094816009,"CB",18,85383.214583195,26424.66,"CB18a",2.387580049,2.333134395,1.675377885,-3.564300059,1.675377885,1.465887819,-683.4853023,2648.659244,"H15","CB18H15",0.25,"18",0.224112778453965,0.166100736025828,-1.02311832897651,0.25,"CB"
"15553",45.9460513573714,0.38669272353042,1875.54879475357,15.5058750204508,31.8944880095869,0.26547145466851,0.233982277,"CB",18,83323.8512373126,32220.73,"CB18a",2.236988008,2.21352868,2.035787264,-3.869483726,2.035787264,1.893940744,-683.6092008,2652.379229,"H16","CB18H16",0.25,"18",0.308732393066475,0.277366387045082,-0.630817037002679,0.25,"CB"
